                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.95997,                 0.5027,                0.97065,                0.94698,                0.94867,                 0.9834,                0.70221,                 1.0431,                0.48129,                 1.0229,              0.0095545,              0.0095545,              0.0095545
                     93,                0.95081,                0.49665,                0.96724,                0.94731,                0.92203,                0.97404,                0.67978,                 1.0568,                0.49677,                 1.0235,              0.0095496,              0.0095496,              0.0095496
                     94,                 0.9326,                0.49151,                 0.9658,                0.95862,                0.93339,                0.98226,                0.67938,                 1.0872,                0.48625,                 1.0459,              0.0095446,              0.0095446,              0.0095446
                     95,                0.93085,                0.49534,                0.95923,                0.96539,                0.91951,                0.97235,                0.68006,                 1.0494,                 0.5067,                 1.0304,              0.0095397,              0.0095397,              0.0095397
                     96,                0.92067,                0.48959,                0.96149,                0.94456,                 0.9361,                0.97709,                0.67636,                 1.0857,                0.49386,                 1.0464,              0.0095347,              0.0095347,              0.0095347
                     97,                0.94827,                0.50886,                 0.9664,                0.97177,                0.94505,                0.97903,                0.68906,                   1.06,                0.47529,                 1.0399,              0.0095298,              0.0095298,              0.0095298
                     98,                0.89807,                0.48364,                0.95915,                0.95263,                0.93223,                0.97493,                 0.6861,                 1.0892,                0.48414,                 1.0344,              0.0095248,              0.0095248,              0.0095248
                     99,                0.90458,                 0.4825,                0.95827,                0.95697,                0.92308,                0.98046,                0.69808,                 1.0488,                 0.4837,                 1.0326,              0.0095198,              0.0095198,              0.0095198
                    100,                0.93062,                0.49133,                0.96226,                0.95493,                 0.9359,                0.97553,                0.70067,                 1.0318,                0.46988,                 1.0324,              0.0095149,              0.0095149,              0.0095149
                    101,                0.91815,                0.48174,                0.95567,                0.96664,                0.95538,                0.98254,                0.70645,                 1.0134,                0.47831,                 1.0232,                0.00951,                0.00951,                0.00951
                    102,                0.91733,                0.48515,                0.96685,                0.95462,                0.92477,                0.97499,                0.70766,                0.99389,                0.48216,                  1.008,               0.009505,               0.009505,               0.009505
                    103,                0.91626,                0.48773,                0.95964,                0.96564,                0.92654,                0.97422,                0.69256,                 1.0313,                0.48625,                 1.0087,                 0.0095,                 0.0095,                 0.0095
                    104,                 0.9158,                0.48172,                0.95426,                0.95472,                0.95421,                0.98234,                0.71069,                 1.0077,                0.46429,                 1.0086,              0.0094951,              0.0094951,              0.0094951
                    105,                0.90654,                0.48395,                0.96439,                0.95996,                0.94872,                0.98097,                0.71459,                   1.01,                0.47176,                 1.0082,              0.0094902,              0.0094902,              0.0094902
                    106,                0.91595,                0.49171,                0.94731,                0.95351,                0.93407,                0.97892,                0.68796,                 1.0675,                 0.4936,                 1.0421,              0.0094852,              0.0094852,              0.0094852
                    107,                0.90581,                0.49153,                0.95818,                 0.9621,                0.95421,                0.98223,                0.70155,                  1.026,                0.47406,                 1.0212,              0.0094803,              0.0094803,              0.0094803
