                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.94232,                0.51788,                0.92901,                0.96903,                0.91681,                0.97963,                0.68209,                  1.085,                0.51131,                0.99078,              0.0090694,              0.0090694,              0.0090694
                     97,                0.96425,                0.53168,                0.93322,                0.94135,                0.94505,                0.97226,                0.67006,                 1.1068,                 0.5488,                0.98889,              0.0090595,              0.0090595,              0.0090595
                     98,                0.90747,                0.50479,                0.92376,                0.96146,                0.95421,                0.97804,                0.70116,                 1.0345,                0.49247,                0.96926,              0.0090496,              0.0090496,              0.0090496
                     99,                0.92232,                0.50761,                 0.9221,                0.95704,                0.93843,                0.97726,                0.67669,                 1.1144,                0.52309,                0.99482,              0.0090397,              0.0090397,              0.0090397
                    100,                0.95091,                0.52214,                0.92596,                 0.9726,                   0.91,                0.97028,                0.67928,                 1.0975,                0.53381,                0.98029,              0.0090298,              0.0090298,              0.0090298
                    101,                0.94425,                0.51001,                0.92332,                0.95163,                 0.9304,                0.96925,                0.68763,                 1.0735,                0.52963,                0.97728,              0.0090199,              0.0090199,              0.0090199
                    102,                0.94108,                0.51278,                0.93027,                0.96703,                0.93956,                0.97757,                0.69397,                 1.0386,                0.50021,                0.96614,                0.00901,                0.00901,                0.00901
                    103,                0.94712,                 0.5181,                0.92863,                 0.9589,                0.94008,                0.97816,                0.67814,                 1.0812,                0.51802,                0.97764,              0.0090001,              0.0090001,              0.0090001
                    104,                0.92203,                0.49857,                 0.9147,                0.95031,                0.92857,                0.97263,                0.68618,                 1.0736,                0.50967,                 0.9831,              0.0089902,              0.0089902,              0.0089902
                    105,                0.91029,                0.50393,                0.93067,                 0.9657,                0.93407,                  0.974,                0.68882,                 1.0687,                0.50268,                0.97473,              0.0089803,              0.0089803,              0.0089803
                    106,                0.93979,                0.50979,                0.91643,                0.96874,                0.92674,                0.97677,                0.68209,                 1.0861,                0.51982,                0.98603,              0.0089704,              0.0089704,              0.0089704
                    107,                0.92627,                0.51251,                0.92127,                0.96586,                0.91392,                0.97287,                0.69299,                 1.0623,                0.52042,                0.96949,              0.0089605,              0.0089605,              0.0089605
                    108,                0.92088,                0.51336,                0.91884,                0.97784,                 0.9304,                0.97606,                0.68445,                  1.066,                 0.5118,                0.98039,              0.0089506,              0.0089506,              0.0089506
                    109,                0.92165,                0.50851,                0.92152,                0.97333,                0.93577,                0.97967,                0.70062,                 1.0477,                0.50806,                0.97122,              0.0089407,              0.0089407,              0.0089407
                    110,                 0.9228,                0.49994,                0.91874,                0.96604,                0.93773,                0.98111,                0.68854,                 1.0716,                0.50362,                0.97693,              0.0089308,              0.0089308,              0.0089308
                    111,                0.91111,                0.49362,                0.91395,                0.94126,                0.93407,                0.97575,                0.69512,                 1.0586,                0.49483,                0.98208,              0.0089209,              0.0089209,              0.0089209
                    112,                0.91845,                0.50954,                 0.9175,                 0.9647,                0.95112,                0.98444,                 0.7033,                 1.0479,                0.49009,                0.97628,               0.008911,               0.008911,               0.008911
                    113,                0.91517,                0.49526,                0.91969,                0.97188,                0.94966,                0.97944,                 0.6806,                 1.0796,                0.49787,                0.98932,              0.0089011,              0.0089011,              0.0089011
                    114,                0.91177,                0.48481,                0.91693,                0.98065,                0.92821,                0.97835,                0.68953,                 1.0476,                 0.4986,                0.98223,              0.0088912,              0.0088912,              0.0088912
                    115,                0.91967,                0.49381,                 0.9166,                 0.9692,                0.92674,                0.97389,                 0.6744,                 1.0787,                0.50319,                0.98124,              0.0088813,              0.0088813,              0.0088813
                    116,                0.90343,                0.49236,                0.91588,                0.96892,                0.91344,                 0.9703,                0.67731,                 1.0846,                0.51024,                0.98132,              0.0088714,              0.0088714,              0.0088714
                    117,                0.89623,                0.48564,                0.91088,                 0.9546,                0.92422,                0.96859,                0.68229,                 1.1145,                0.51953,                0.99552,              0.0088615,              0.0088615,              0.0088615
                    118,                0.91824,                0.50147,                0.91385,                0.95539,                 0.9359,                0.97628,                0.68671,                 1.0829,                 0.5148,                0.98681,              0.0088516,              0.0088516,              0.0088516
                    119,                 0.9225,                0.50004,                0.91955,                0.95698,                0.93706,                0.97614,                0.70926,                 1.0237,                 0.5014,                0.95931,              0.0088417,              0.0088417,              0.0088417
                    120,                0.91663,                0.50102,                0.91702,                 0.9715,                0.93657,                0.97779,                0.69566,                 1.0567,                0.51134,                0.97252,              0.0088318,              0.0088318,              0.0088318
                    121,                0.92039,                0.50115,                0.91636,                0.95736,                0.94579,                 0.9778,                0.69572,                 1.0501,                0.49663,                0.97439,              0.0088219,              0.0088219,              0.0088219
                    122,                0.89901,                0.48979,                0.90927,                0.97157,                0.93884,                0.97373,                0.71043,                 1.0005,                0.48058,                0.96052,               0.008812,               0.008812,               0.008812
                    123,                0.89494,                0.48237,                0.90784,                0.97904,                0.94097,                0.97715,                0.70154,                  1.029,                0.47858,                0.96962,              0.0088021,              0.0088021,              0.0088021
                    124,                 0.9006,                0.48492,                0.91573,                0.97636,                0.93956,                0.97883,                 0.6954,                 1.0557,                  0.494,                0.97214,              0.0087922,              0.0087922,              0.0087922
                    125,                0.87768,                0.47568,                0.91522,                0.96926,                0.92857,                0.97915,                0.69458,                 1.0352,                0.48185,                0.96955,              0.0087823,              0.0087823,              0.0087823
                    126,                0.92068,                0.49229,                0.91398,                0.96704,                0.93956,                0.97401,                 0.7016,                 1.0331,                0.47001,                0.96905,              0.0087724,              0.0087724,              0.0087724
                    127,                0.87728,                0.47704,                0.91384,                0.97342,                0.93893,                0.98171,                0.69617,                 1.0752,                0.48512,                0.98563,              0.0087625,              0.0087625,              0.0087625
                    128,                0.88329,                0.48945,                0.91254,                0.96741,                0.92428,                0.97479,                0.70188,                 1.0498,                0.48171,                0.98094,              0.0087526,              0.0087526,              0.0087526
                    129,                0.87749,                0.47787,                0.90143,                0.95731,                0.94462,                0.97609,                0.70096,                 1.0191,                0.50354,                0.96649,              0.0087427,              0.0087427,              0.0087427
                    130,                0.89696,                0.48883,                0.91627,                0.97714,                0.93924,                0.98049,                0.70232,                 1.0388,                0.48707,                0.97734,              0.0087328,              0.0087328,              0.0087328
                    131,                0.87862,                0.47076,                 0.8992,                0.97528,                 0.9304,                0.98109,                0.69768,                 1.0683,                0.48613,                0.97829,              0.0087229,              0.0087229,              0.0087229
                    132,                 0.8725,                0.47325,                0.90749,                0.96346,                0.94139,                0.98219,                0.70435,                 1.0151,                 0.4953,                0.96869,               0.008713,               0.008713,               0.008713
                    133,                0.90077,                0.49318,                0.91842,                0.96143,                 0.9304,                0.97488,                0.69682,                 1.0462,                0.50139,                0.97581,              0.0087031,              0.0087031,              0.0087031
                    134,                0.87621,                0.47365,                0.91225,                0.95491,                0.93093,                0.97082,                0.68498,                 1.0571,                0.51196,                0.97722,              0.0086932,              0.0086932,              0.0086932
                    135,                0.88084,                0.47649,                0.90702,                0.98492,                 0.9304,                0.97504,                0.71208,                0.99551,                0.48181,                0.95809,              0.0086833,              0.0086833,              0.0086833
                    136,                0.90149,                0.47743,                0.90783,                0.97175,                0.94512,                0.97944,                0.68793,                 1.0649,                0.50473,                0.97627,              0.0086734,              0.0086734,              0.0086734
                    137,                0.87626,                0.47397,                0.90724,                0.97434,                0.94322,                0.97967,                0.70412,                 1.0236,                0.47929,                 0.9702,              0.0086635,              0.0086635,              0.0086635
                    138,                0.87796,                0.47294,                0.90531,                0.96063,                0.94322,                0.97698,                0.71395,                0.99785,                0.48091,                0.95236,              0.0086536,              0.0086536,              0.0086536
                    139,                0.87183,                0.47764,                0.90147,                0.97519,                0.93579,                0.97778,                0.69509,                 1.0357,                0.48744,                 0.9662,              0.0086437,              0.0086437,              0.0086437
                    140,                0.88892,                0.48302,                 0.9116,                0.97517,                0.93524,                0.97542,                0.69555,                 1.0196,                0.49083,                0.96703,              0.0086338,              0.0086338,              0.0086338
                    141,                0.87791,                0.46864,                0.90191,                0.96985,                0.94274,                0.97606,                0.70275,                 1.0354,                0.48745,                0.97481,              0.0086239,              0.0086239,              0.0086239
                    142,                0.88391,                0.47235,                 0.9087,                0.96287,                0.93407,                0.98181,                0.68697,                  1.081,                0.50109,                0.98267,               0.008614,               0.008614,               0.008614
                    143,                0.86664,                0.47338,                0.91125,                0.95428,                0.95055,                0.97542,                0.70759,                 1.0189,                 0.4877,                0.97393,              0.0086041,              0.0086041,              0.0086041
