                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1452,                0.65189,                0.99565,                0.93168,                0.91392,                0.97047,                0.60949,                 1.2226,                 0.6359,                 1.0294,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.1302,                0.63496,                0.97646,                 0.9491,                0.88785,                0.96169,                0.60803,                 1.2248,                 0.6369,                 1.0377,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.0914,                0.61235,                0.97552,                0.95747,                0.90722,                0.96722,                0.65114,                 1.1265,                0.61024,                 1.0125,               0.009406,               0.009406,               0.009406
                     63,                 1.1138,                0.63161,                0.97906,                0.94795,                0.90067,                0.96497,                 0.6369,                 1.1686,                0.62152,                 1.0281,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.1106,                0.63038,                0.97125,                0.91052,                0.95055,                 0.9718,                0.64632,                 1.1248,                0.58291,                 1.0015,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0847,                0.62277,                0.97022,                0.95582,                 0.9304,                0.98161,                0.66594,                 1.1152,                0.57937,                 1.0058,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.1142,                0.62074,                0.97296,                0.95497,                0.91392,                0.97358,                0.64222,                 1.1288,                0.58531,                 1.0152,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0856,                0.61439,                0.97705,                0.96851,                0.90116,                0.97304,                0.64177,                 1.1685,                 0.5918,                 1.0278,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.1008,                0.61478,                0.97479,                0.95348,                0.91575,                0.97115,                0.64167,                 1.1666,                0.59606,                 1.0166,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0877,                0.60893,                0.97009,                0.94695,                0.92857,                0.97621,                 0.6612,                 1.1219,                0.59741,                0.99988,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.0816,                0.60384,                0.97767,                0.94352,                0.95604,                0.98193,                0.66511,                 1.0965,                0.56168,                0.99978,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0912,                0.61705,                0.97711,                 0.9492,                0.92392,                 0.9742,                0.64601,                 1.1436,                0.60538,                 1.0042,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.1143,                0.62682,                0.98095,                0.95627,                0.92107,                0.97434,                0.64338,                 1.1225,                0.58838,                0.99045,               0.009307,               0.009307,               0.009307
                     73,                 1.0738,                0.59172,                0.96963,                0.94501,                 0.9128,                0.97154,                0.65944,                 1.1302,                0.57121,                 1.0051,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.0628,                0.60707,                0.96761,                0.94095,                0.93384,                0.97678,                0.63462,                 1.1796,                0.59165,                 1.0172,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.0602,                0.60298,                0.96244,                0.93956,                0.91105,                0.96848,                0.65732,                   1.12,                0.61228,                0.99985,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.0619,                0.59827,                0.97038,                0.93209,                 0.9304,                0.97718,                0.64925,                 1.1431,                0.58781,                 1.0071,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.0582,                0.58988,                0.95759,                0.93713,                0.90476,                0.96621,                0.66176,                 1.0949,                0.57892,                0.99281,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.0736,                0.58783,                0.96643,                0.95628,                0.92146,                0.97479,                0.66085,                 1.1012,                 0.5732,                0.98632,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.0565,                0.59807,                0.95432,                0.94661,                0.90476,                0.95966,                0.65288,                 1.1173,                0.59099,                0.99893,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.0444,                0.60176,                0.96684,                0.93854,                0.92303,                0.97602,                 0.6569,                 1.1141,                0.56756,                0.99975,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.0704,                0.58838,                0.96789,                0.96385,                0.90842,                 0.9679,                0.65183,                 1.1409,                 0.5824,                 1.0066,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.0501,                 0.5954,                0.96154,                0.96144,                0.91575,                0.97162,                 0.6356,                 1.1508,                0.58306,                 1.0104,               0.009208,               0.009208,               0.009208
                     83,                 1.0614,                0.59555,                0.96415,                0.95617,                0.91893,                0.97275,                0.65939,                 1.0944,                0.55957,                0.99092,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.0501,                0.59766,                0.96139,                0.95551,                0.92674,                 0.9774,                0.65581,                  1.142,                0.56593,                  1.009,              0.0091882,              0.0091882,              0.0091882
